商品,积分,库存,详情页,购买页
电影票兑换劵,3000,2,https://vip.17wo.cn/_goods_detail.html?id=1&active,https://vip.17wo.cn/_pay_confirm.html?id=1&sf17
3元电影优惠,10,0,https://vip.17wo.cn/_goods_detail.html?id=2&active,https://vip.17wo.cn/_pay_confirm.html?id=2&sf17
5元电影票优惠劵,10,0,https://vip.17wo.cn/_goods_detail.html?id=3&active,https://vip.17wo.cn/_pay_confirm.html?id=3&sf17
9.9购电影票特权,2000,0,https://vip.17wo.cn/_goods_detail.html?id=4&active,https://vip.17wo.cn/_pay_confirm.html?id=4&sf17
广州南易登车服务,10,10,https://vip.17wo.cn/_goods_detail.html?id=5&active,https://vip.17wo.cn/_pay_confirm.html?id=5&sf17
商务休息室服务,6000,100,https://vip.17wo.cn/_goods_detail.html?id=7&active,https://vip.17wo.cn/_pay_confirm.html?id=7&sf17
高铁商务通道,3000,100,https://vip.17wo.cn/_goods_detail.html?id=8&active,https://vip.17wo.cn/_pay_confirm.html?id=8&sf17
白云机场服务,4500,10,https://vip.17wo.cn/_goods_detail.html?id=9&active,https://vip.17wo.cn/_pay_confirm.html?id=9&sf17
真功夫鸡蛋花卷+白粥3元立减劵,1,9900,https://vip.17wo.cn/_goods_detail.html?id=10&active,https://vip.17wo.cn/_pay_confirm.html?id=10&sf17
真功夫蒸米粉+蒸饺3元立减劵,1,9900,https://vip.17wo.cn/_goods_detail.html?id=11&active,https://vip.17wo.cn/_pay_confirm.html?id=11&sf17
真功夫冬菇鸡腿肉饭+香滑蒸蛋5元立减劵,1,9900,https://vip.17wo.cn/_goods_detail.html?id=12&active,https://vip.17wo.cn/_pay_confirm.html?id=12&sf17
真功夫鱼香茄子饭+四季猪骨汤5元立减劵,1,9900,https://vip.17wo.cn/_goods_detail.html?id=13&active,https://vip.17wo.cn/_pay_confirm.html?id=13&sf17
真功夫双拼饭+四季猪骨汤+香滑蒸蛋8元立减劵,1,9900,https://vip.17wo.cn/_goods_detail.html?id=14&active,https://vip.17wo.cn/_pay_confirm.html?id=14&sf17
真功夫香汁排骨饭+四季猪骨汤+香滑蒸蛋8元立减劵,1,9900,https://vip.17wo.cn/_goods_detail.html?id=15&active,https://vip.17wo.cn/_pay_confirm.html?id=15&sf17
芒果TV移动端半年卡22元优惠码,1,0,https://vip.17wo.cn/_goods_detail.html?id=16&active,https://vip.17wo.cn/_pay_confirm.html?id=16&sf17
芒果TV移动端季卡10元优惠码,1,0,https://vip.17wo.cn/_goods_detail.html?id=17&active,https://vip.17wo.cn/_pay_confirm.html?id=17&sf17
芒果TV移动端年卡40元优惠码,1,0,https://vip.17wo.cn/_goods_detail.html?id=18&active,https://vip.17wo.cn/_pay_confirm.html?id=18&sf17
芒果TV移动端月卡3.5元优惠码,1,0,https://vip.17wo.cn/_goods_detail.html?id=19&active,https://vip.17wo.cn/_pay_confirm.html?id=19&sf17
测试商品(切勿购买),10,0,https://vip.17wo.cn/_goods_detail.html?id=20&active,https://vip.17wo.cn/_pay_confirm.html?id=20&sf17
500积分兑换券,0,0,https://vip.17wo.cn/_goods_detail.html?id=22&active,https://vip.17wo.cn/_pay_confirm.html?id=22&sf17
新人500积分,0,0,https://vip.17wo.cn/_goods_detail.html?id=23&active,https://vip.17wo.cn/_pay_confirm.html?id=23&sf17
商务休息室服务,1,4800,https://vip.17wo.cn/_goods_detail.html?id=24&active,https://vip.17wo.cn/_pay_confirm.html?id=24&sf17
商务畅行通道服务,10,4800,https://vip.17wo.cn/_goods_detail.html?id=25&active,https://vip.17wo.cn/_pay_confirm.html?id=25&sf17
阳光守护3个月免费体验卡,10,0,https://vip.17wo.cn/_goods_detail.html?id=27&active,https://vip.17wo.cn/_pay_confirm.html?id=27&sf17
广州南易登车服务,10,1,https://vip.17wo.cn/_goods_detail.html?id=28&active,https://vip.17wo.cn/_pay_confirm.html?id=28&sf17
机场一条龙服务,10,50,https://vip.17wo.cn/_goods_detail.html?id=30&active,https://vip.17wo.cn/_pay_confirm.html?id=30&sf17
特惠电影票,21,0,https://vip.17wo.cn/_goods_detail.html?id=31&active,https://vip.17wo.cn/_pay_confirm.html?id=31&sf17
陈梦签名照+乒乓球拍,10,0,https://vip.17wo.cn/_goods_detail.html?id=33&active,https://vip.17wo.cn/_pay_confirm.html?id=33&sf17
丁宁名照+乒乓球拍,10,0,https://vip.17wo.cn/_goods_detail.html?id=34&active,https://vip.17wo.cn/_pay_confirm.html?id=34&sf17
樊振东签名球拍+乒乓球拍,10,0,https://vip.17wo.cn/_goods_detail.html?id=35&active,https://vip.17wo.cn/_pay_confirm.html?id=35&sf17
樊振东签名照+乒乓球拍,10,0,https://vip.17wo.cn/_goods_detail.html?id=36&active,https://vip.17wo.cn/_pay_confirm.html?id=36&sf17
荣耀手环3 碳晶黑,10,0,https://vip.17wo.cn/_goods_detail.html?id=37&active,https://vip.17wo.cn/_pay_confirm.html?id=37&sf17
荣耀体脂秤 智慧魔秤,10,0,https://vip.17wo.cn/_goods_detail.html?id=38&active,https://vip.17wo.cn/_pay_confirm.html?id=38&sf17
